X[s],Quattro sensor 1: EMG.A 1,X[s],Quattro sensor 1: EMG.B 1,X[s],Quattro sensor 1: EMG.C 1,X[s],Quattro sensor 1: EMG.D 1,X[s],Quattro sensor 1: Pitch 1,X[s],Quattro sensor 1: Roll 1,X[s],Quattro sensor 1: Yaw 1,X[s],Quattro sensor 2: EMG.A 2,X[s],Quattro sensor 2: EMG.B 2,X[s],Quattro sensor 2: EMG.C 2,X[s],Quattro sensor 2: EMG.D 2,X[s],Quattro sensor 2: Pitch 2,X[s],Quattro sensor 2: Roll 2,X[s],Quattro sensor 2: Yaw 2,X[s],Quattro sensor 3: EMG.A 3,X[s],Quattro sensor 3: EMG.B 3,X[s],Quattro sensor 3: EMG.C 3,X[s],Quattro sensor 3: EMG.D 3,X[s],Quattro sensor 3: Pitch 3,X[s],Quattro sensor 3: Roll 3,X[s],Quattro sensor 3: Yaw 3,X[s],Quattro sensor 4: EMG.A 4,X[s],Quattro sensor 4: EMG.B 4,X[s],Quattro sensor 4: EMG.C 4,X[s],Quattro sensor 4: EMG.D 4,X[s],Quattro sensor 4: Pitch 4,X[s],Quattro sensor 4: Roll 4,X[s],Quattro sensor 4: Yaw 4,Mean Yaw,Yaw SD,Mean Pitch ,Pitch SD,Mean Roll,Roll SD
0.09,0,0.09,0,0.09,0,0.09,0,0.27,1.557936,0.27,1.711334,0.27,168.1024,0.09,0,0.09,0,0.09,0,0.09,0,0.27,0.3599296,0.27,-0.008358512,0.27,171.9317,0.09,0,0.09,0,0.09,0,0.09,0,0.27,-0.1326728,0.27,-4.104379,0.27,167.2841,0.09,0,0.09,0,0.09,0,0.09,0,0.27,-0.03450848,0.27,-0.2918588,0.27,165.9513,168.317375,2.567458379,0.43767108,0.776591464,-0.673315578,2.452646665
0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.2835,1.558977,0.2835,1.71408,0.2835,168.102,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.2835,0.3574351,0.2835,-0.01028043,0.2835,171.9295,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.2835,-0.1320571,0.2835,-4.103405,0.2835,167.2885,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.2835,-0.03305725,0.2835,-0.2894728,0.2835,165.9579,168.319475,2.563820184,0.437824438,0.776732482,-0.672269558,2.453033333
0.099,0,0.099,0,0.099,0,0.099,0,0.297,1.559032,0.297,1.717618,0.297,168.1011,0.099,0,0.099,0,0.099,0,0.099,0,0.297,0.3567492,0.297,-0.01296771,0.297,171.9326,0.099,0,0.099,0,0.099,0,0.099,0,0.297,-0.1335875,0.297,-4.102249,0.297,167.2907,0.099,0,0.099,0,0.099,0,0.099,0,0.297,-0.03243848,0.297,-0.286771,0.297,165.9293,168.313425,2.57381222,0.437438805,0.777032348,-0.671092428,2.453541932
0.1035,0,0.1035,0,0.1035,0,0.1035,0,0.3105,1.556908,0.3105,1.72054,0.3105,168.0967,0.1035,0,0.1035,0,0.1035,0,0.1035,0,0.3105,0.3564338,0.3105,-0.01477675,0.3105,171.9435,0.1035,0,0.1035,0,0.1035,0,0.1035,0,0.3105,-0.1348245,0.3105,-4.104561,0.3105,167.2956,0.1035,0,0.1035,0,0.1035,0,0.1035,0,0.3105,-0.02554812,0.3105,-0.2819566,0.3105,165.9306,168.3166,2.57799642,0.438242295,0.774943587,-0.670188588,2.455659165
0.108,0,0.108,0,0.108,0,0.108,0,0.324,1.555614,0.324,1.724377,0.324,168.0959,0.108,0,0.108,0,0.108,0,0.108,0,0.324,0.3597374,0.324,-0.01191206,0.324,171.9426,0.108,0,0.108,0,0.108,0,0.108,0,0.324,-0.1340476,0.324,-4.104895,0.324,167.2995,0.108,0,0.108,0,0.108,0,0.108,0,0.324,-0.02449355,0.324,-0.2835824,0.324,165.9416,168.3199,2.573691146,0.439202563,0.773804248,-0.669003115,2.457230094
0.1125,0,0.1125,0,0.1125,0,0.1125,0,0.3375,1.555037,0.3375,1.727223,0.3375,168.1069,0.1125,0,0.1125,0,0.1125,0,0.1125,0,0.3375,0.36189,0.3375,-0.01129332,0.3375,171.9334,0.1125,0,0.1125,0,0.1125,0,0.1125,0,0.3375,-0.1313542,0.3375,-4.098413,0.3375,167.3025,0.1125,0,0.1125,0,0.1125,0,0.1125,0,0.3375,-0.02348843,0.3375,-0.2847745,0.3375,165.9509,168.323425,2.565798466,0.440521093,0.772587588,-0.666814455,2.455127043
0.117,0,0.117,0,0.117,0,0.117,0,0.351,1.555031,0.351,1.728802,0.351,168.1188,0.117,0,0.117,0,0.117,0,0.117,0,0.351,0.3619483,0.351,-0.01217106,0.351,171.9352,0.117,0,0.117,0,0.117,0,0.117,0,0.351,-0.1299323,0.351,-4.100442,0.351,167.306,0.117,0,0.117,0,0.117,0,0.117,0,0.351,-0.02371613,0.351,-0.2865628,0.351,165.9539,168.328475,2.564923026,0.440832718,0.772277778,-0.667593465,2.456414948
0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.3645,1.552473,0.3645,1.730459,0.3645,168.1368,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.3645,0.362257,0.3645,-0.01656468,0.3645,171.9457,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.3645,-0.128455,0.3645,-4.101972,0.3645,167.3187,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.3645,-0.02492895,0.3645,-0.28716,0.3645,165.9398,168.33525,2.572047577,0.440336513,0.77091714,-0.66880942,2.457246001
0.126,0,0.126,0,0.126,0,0.126,0,0.378,1.552264,0.378,1.73262,0.378,168.1377,0.126,0,0.126,0,0.126,0,0.126,0,0.378,0.3624084,0.378,-0.01875746,0.378,171.9496,0.126,0,0.126,0,0.126,0,0.126,0,0.378,-0.1300679,0.378,-4.10304,0.378,167.3178,0.126,0,0.126,0,0.126,0,0.126,0,0.378,-0.02514295,0.378,-0.2854246,0.378,165.9398,168.336225,2.57396797,0.439865388,0.771251572,-0.668650515,2.45834323
0.1305,0,0.1305,0,0.1305,0,0.1305,0,0.3915,1.553892,0.3915,1.734079,0.3915,168.1399,0.1305,0,0.1305,0,0.1305,0,0.1305,0,0.3915,0.3628367,0.3915,-0.02488299,0.3915,171.9562,0.1305,0,0.1305,0,0.1305,0,0.1305,0,0.3915,-0.1311489,0.3915,-4.100965,0.3915,167.317,0.1305,0,0.1305,0,0.1305,0,0.1305,0,0.3915,-0.02353967,0.3915,-0.284341,0.3915,165.95,168.340775,2.573944382,0.440510033,0.771964726,-0.669027498,2.45737134
0.135,0,0.135,0,0.135,0,0.135,0,0.405,1.553146,0.405,1.737473,0.405,168.1426,0.135,0,0.135,0,0.135,0,0.135,0,0.405,0.3620232,0.405,-0.0258262,0.405,171.9592,0.135,0,0.135,0,0.135,0,0.135,0,0.405,-0.1321112,0.405,-4.098399,0.405,167.3236,0.135,0,0.135,0,0.135,0,0.135,0,0.405,-0.02289964,0.405,-0.2860225,0.405,165.953,168.3446,2.573475518,0.44003959,0.771742983,-0.668193675,2.457114263
0.1395,0,0.1395,0,0.1395,0,0.1395,0,0.4185,1.552287,0.4185,1.741355,0.4185,168.1418,0.1395,0,0.1395,0,0.1395,0,0.1395,0,0.4185,0.3626732,0.4185,-0.02887559,0.4185,171.968,0.1395,0,0.1395,0,0.1395,0,0.1395,0,0.4185,-0.1342014,0.4185,-4.097717,0.4185,167.3307,0.1395,0,0.1395,0,0.1395,0,0.1395,0,0.4185,-0.02399737,0.4185,-0.2879173,0.4185,165.957,168.349375,2.575441138,0.439190358,0.772044901,-0.668288723,2.457701687
0.144,0,0.144,0,0.144,0,0.144,0,0.432,1.554291,0.432,1.74292,0.432,168.1392,0.144,0,0.144,0,0.144,0,0.144,0,0.432,0.3628244,0.432,-0.03107393,0.432,171.9737,0.144,0,0.144,0,0.144,0,0.144,0,0.432,-0.1356384,0.432,-4.098224,0.432,167.348,0.144,0,0.144,0,0.144,0,0.144,0,0.432,-0.02124287,0.432,-0.2853732,0.432,165.9632,168.356025,2.573992448,0.440058533,0.772809818,-0.667937783,2.458390395
